w,with
w/,with
w/o,without
pic,picture
pics,picture
congrats,congratulation
bro,brother
sis,sister
blk,block
n,and
gr8,great
fav,favorite
nvr,never
gyal,girl
gurl,girl
b4,before
prob,problem
lil,little
btw,between
btwn,between
abt,about
rite,right
gdnight,goodnight
lemme,let me
diff,different
im,I am
lmfao,ha
lmao,ha
sth,something
fwd,forward
fb,facebook
ins,instagram
srsly,seriously
yr,year
yrs,yrs
urself,yourself
yrself,yourself
u,you
ur,your
r,are
tmr,tomorrow
tmrw,tomorrow
ppl,people
juz,just
tho,though
til,till
ltr,later
knw,know
dun,don't
dont,don't
shld,should
mayb,maybe
wld,would
wouldn,wouldn't
wouldnt,wouldn't
em,them
vid,video
thru,through
xmas,christmas
hr,hour
hrs,hour
min,minute
sec,second
bday,birthday
bf,boyfriend
gf,girlfriend
tbh,to be honest
bby,baby
wat,that
whr,where
whvr,whatever
rly,really
rlly,really
coz,because
cuz,because
becuz,because
bc,because
thx,thanks
thanx,thanks
freee+,free
finee+,fine
cutee+,cute
idk+,I don't know
foo+d,food
gd,good
goo+d,good
he(he)+,ha
ah+,
ugh+,
eh+,
lei,
leh+,
lah+,
la,
sia+,
walao,
dia,
seh+,
gua+,
wah+,
meh+,
loh+,
lor,
lol,
ya+,yes
yeh+,yes
yah+,yes
yu+p+,yes
ye+a+,yes
ye+s,yes
ye+p+,yes
ye+z+,yes
ya+y+,yes
na+w+,no
na+h+,no
lookin,looking
rollin,rolling
fk+,fuck
fkin+g+,fuck
fuckin,fuck
smh,shaking my head
soo+,so
noo+,no
oo+h,oh
ka+y+,ok
k+,ok
ok+a+y+,ok
ha+pp+y,happy
em+,
he+y+,hey
yo+u+,you
hh+,ha
ha(ha)+,ha
hah+,ha
rightt+,right
ple+ase,please
om+g+,oh my god
om+gosh,oh my god
omh,oh my god
